feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Barnesiella	sample_type	healthy volunteer	-0.351451210361812	0.922737165444382	89	36	0.704221504362299	0.802961860902453
Leuconostoc	sample_type	healthy volunteer	0.13647765694209	0.371588931840575	89	21	0.714301125825342	0.806469013028612
Tyzzerella	sample_type	healthy volunteer	-0.152031278036483	0.438224088504065	89	13	0.729484770249977	0.818332274318884
Acinetobacter	sample_type	healthy volunteer	-0.139723796899117	0.41555069153791	89	36	0.737501271452428	0.822055557351433
X.Eubacterium._ventriosum_group	sample_type	healthy volunteer	-0.210914923432407	0.67076940609374	89	59	0.753941744533049	0.828541087500889
Fusicatenibacter	sample_type	healthy volunteer	-0.108374371520343	0.349424260742776	89	86	0.757187681184307	0.828541087500889
Mediterraneibacter	sample_type	healthy volunteer	-0.167047379364428	0.539369794121707	89	80	0.757523280000813	0.828541087500889
Defluviitaleaceae_UCG.011	sample_type	healthy volunteer	-0.108015406548652	0.406050690835144	89	44	0.790857375384649	0.859627581939836
Anaerococcus	sample_type	healthy volunteer	0.0381446055344851	0.197674981756625	89	13	0.847435141172941	0.91543919571151
Butyribacter	sample_type	healthy volunteer	-0.106394829249763	0.64823442940691	89	51	0.870009383129629	0.93405915366678
Enhydrobacter	sample_type	healthy volunteer	-0.0331807974709315	0.232330058120266	89	14	0.886764565718065	0.946242676833301
Asteroleplasma	sample_type	healthy volunteer	-0.098386292168085	0.869892559171089	89	51	0.910210534681184	0.964404487090654
Fournierella	sample_type	healthy volunteer	0.050898006635912	0.474399870216427	89	38	0.914806542040277	0.964404487090654
Holdemanella	sample_type	healthy volunteer	0.0679248893491181	0.757677729745536	89	66	0.928772376966474	0.970965069026222
Gemmiger	sample_type	healthy volunteer	-0.0331548069179109	0.388154176124635	89	86	0.932126466265173	0.970965069026222
Weissella	sample_type	healthy volunteer	0.0284070754777285	0.569948568332582	89	73	0.96036296781886	0.98104320721132
Zag_111	sample_type	healthy volunteer	0.0394699350505217	0.877474895590693	89	45	0.964225323659126	0.98104320721132
Kocuria	sample_type	healthy volunteer	-0.0124395550925365	0.225299837239964	89	13	0.956095105347287	0.98104320721132
F0332	sample_type	healthy volunteer	0.0134576299473781	0.232124243880043	89	12	0.953900717532615	0.98104320721132
Olsenella	sample_type	healthy volunteer	0.0218595499836479	0.840063361625152	89	44	0.979299934592956	0.988538936753494
Howardella	sample_type	healthy volunteer	0.0115206092313612	0.53565765110072	89	43	0.982890142829189	0.988538936753494
Treponema	sample_type	healthy volunteer	-0.00429981270131879	0.503331845000368	89	10	0.993203553490744	0.993203553490744
