feature	g__Actinomyces	g__Adlercreutzia	g__Agathobaculum	g__Akkermansia	g__Alistipes	g__Anaerostipes	g__Asaccharobacter	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Blautia	g__Burkholderia	g__Clostridium	g__Collinsella	g__Coprococcus	g__Dialister	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Firmicutes_unclassified	g__Flavonifractor	g__Fusicatenibacter	g__Gemmiger	g__Gordonibacter	g__Intestinibacter	g__Lachnoclostridium	g__Lachnospiraceae_unclassified	g__Methanobrevibacter	g__Monoglobus	g__Oscillibacter	g__Parabacteroides	g__Phascolarctobacterium	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Streptococcus	g__Turicibacter
SRR5665044	0	0.9898	0.2136	0.21062	0.63077	0.64649	0.84436	0.70849	0.01749	6.10166	24.0747	0	0.15922	11.94103	15.14342	0	10.6793	0.0054	0	0	0	0	4.48326	1.0782	0.12708	0	2.07323	0.32807	0	0.60162	0	0.22076	5.0306	1.10422	0.26983	0	0	0.75092	0	0	5.07543	0.51763	4.75309	0
SRR5665043	0	0.44169	0.17714	15.36805	0	0.9261	0.40749	4.9663	0	0	10.01049	0	0	0	6.3798	1.10341	0.81146	0.43088	0.07852	0	0	0	3.07447	13.57609	6.5548	0	4.02739	0.24466	0.01574	0	0.03207	6.02943	0	0	0	0	0	5.13846	0	0	18.49906	0.28614	1.228	0
SRR5665042	0	0.00942	0.32273	64.36599	0	0.83519	0.0321	0.38889	0	0.37692	2.76851	0	0	0.19012	0	0	0.62099	0.32839	0	0	0	0	0.21879	4.7231	3.77508	0	0	0	0.14131	0	0	0.55946	0	0	0.32717	0.008	0.05451	3.94981	0	1.77148	5.92579	0.18614	0.01854	0
SRR5665041	0	0.3692	0	0.05155	0.64217	16.63319	0.44555	0.15864	0	6.95862	18.5921	0	0	11.58671	3.08988	0.01934	0.22011	0.25574	0	0.01291	0.07652	0	0.19282	0.10462	1.30289	0	11.38416	0	0.20949	0.01826	0.00577	23.4796	0	0	0	0.0366	0	0.15442	0	0	0.15858	0	3.81948	0
SRR5665040	0	0	0	0	0	0	0	35.61963	0	0	0	16.37577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.0046	0	0	0	0	0	0	0	0
SRR5665039	0	0	0	0	0	0	0	0.09215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.12217	0	0	0	7.81597	0	0	2.77759	13.52617	0	0	0	0	0	60.56731
SRR5665038	0	0	0	0	10.47244	0	0	36.38862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38213	37.18179	0	0	0	0	0	0	0	2.74108	0	0	0	0	0	0.3263	0	0	0	0	0	0
SRR5665037	0	0	0	0	0	0	0	0	0	0	0	89.41505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.58495	0	0	0	0	0	0	0	0
SRR5665035	0.04651	0.25298	0.80191	1.26304	0	3.17155	0.71356	0	0	8.80321	16.19574	0	0	9.11181	1.44748	0	8.01719	0	0	0	0	0	4.78569	2.88242	0	0	27.0496	0.02315	0.15134	0	0	1.69948	0	0	0	0	0	0.5533	0	0	2.02164	0	0.2748	0
SRR5665034	0	0.27862	1.54786	0	0.20502	8.49152	0.77696	0	0	0	28.22749	0	0	6.25128	0.30056	0	10.0956	0.24295	0	0	0	0	1.82343	1.90754	0	0	15.9574	0	0.1195	0	0	0	2.8175	0	0	0	0	1.42481	0.48119	0.112	0.70684	0	17.09961	0
